Date,Open,High,Low,Close,Adj Close,Volume
06-04-2021,308.839996,311.350006,305.25,306.26001,306.26001,17335200
07-04-2021,306.339996,314.25,305.5,313.089996,313.089996,22855200
08-04-2021,314.850006,315.880005,310.049988,313.019989,313.019989,20894100
09-04-2021,311.399994,314.73999,310.329987,312.459991,312.459991,15988600
12-04-2021,311.049988,312.149994,307.929993,311.540009,311.540009,10881900
13-04-2021,312.209991,314.429993,309.320007,309.76001,309.76001,14036900
14-04-2021,307.299988,308.029999,301.950012,302.820007,302.820007,17421400
15-04-2021,306.339996,310.140015,304.100006,307.820007,307.820007,14558300
16-04-2021,308.170013,308.950012,304.609985,306.179993,306.179993,13059200
19-04-2021,305.01001,307.700012,300.559998,302.23999,302.23999,14553500
20-04-2021,301.98999,305.100006,297.209991,302.649994,302.649994,16796400
21-04-2021,301.950012,301.980011,297.390015,301.470001,301.470001,14863500
22-04-2021,301.329987,302.920013,296.040009,296.519989,296.519989,16375400
23-04-2021,298.76001,302.589996,297.149994,301.130005,301.130005,17536800
26-04-2021,303.339996,305.799988,301.559998,303.040009,303.040009,16172600
27-04-2021,304.279999,305.339996,301.109985,303.570007,303.570007,15309300
28-04-2021,307.359985,310.920013,305.369995,307.100006,307.100006,33907200
29-04-2021,330.119995,331.809998,321.609985,329.51001,329.51001,56526800
30-04-2021,326.140015,329.820007,324.5,325.079987,325.079987,26332400
03-05-2021,326.170013,328.549988,321.839996,322.579987,322.579987,18719500
04-05-2021,320.019989,322.190002,313.119995,318.359985,318.359985,24032600
05-05-2021,318.190002,321.059998,314.48999,315.019989,315.019989,15577600
06-05-2021,314.519989,320.23999,313.269989,320.019989,320.019989,19012200
07-05-2021,322.380005,322.940002,318.75,319.079987,319.079987,15916700
10-05-2021,314.350006,314.579987,304.829987,305.970001,305.970001,24239200
11-05-2021,300.75,306.839996,299.690002,306.529999,306.529999,18920100
12-05-2021,301.130005,304.959991,298.190002,302.549988,302.549988,24645500
13-05-2021,306.079987,308.859985,302.769989,305.26001,305.26001,18079200
14-05-2021,309.540009,316.850006,309.079987,315.940002,315.940002,19245700
17-05-2021,313.549988,315.679993,311.579987,315.459991,315.459991,15401300
18-05-2021,315.589996,316.5,309.809998,309.959991,309.959991,14522400
19-05-2021,304.190002,314.660004,303.570007,313.589996,313.589996,19106200
20-05-2021,313.579987,319.25,313.160004,318.609985,318.609985,17320200
21-05-2021,319.290009,319.929993,315.809998,316.230011,316.230011,13600900
24-05-2021,318.209991,325.950012,318.029999,324.630005,324.630005,16445400
25-05-2021,327.079987,329.179993,324.799988,327.790009,327.790009,16437000
26-05-2021,328.350006,329.829987,325.820007,327.660004,327.660004,9686900
27-05-2021,328,333.779999,326.76001,332.75,332.75,20477700
28-05-2021,331,332.869995,328.329987,328.730011,328.730011,12037400
01-06-2021,330.149994,331.420013,326.640015,329.130005,329.130005,11765900
02-06-2021,330.380005,331.869995,327.119995,329.149994,329.149994,11654300
03-06-2021,325.779999,327.380005,323.480011,326.040009,326.040009,12610800
04-06-2021,325.899994,332.459991,325.179993,330.350006,330.350006,13289400
07-06-2021,329.480011,337.690002,328.929993,336.579987,336.579987,20136700
08-06-2021,336.700012,338.299988,332.23999,333.679993,333.679993,14580500
09-06-2021,335.73999,336.799988,330,330.25,330.25,13727900
10-06-2021,330.790009,333.940002,328.549988,332.459991,332.459991,13240200
11-06-2021,332.579987,332.829987,328.929993,331.26001,331.26001,13587900
14-06-2021,331.899994,336.820007,329.809998,336.769989,336.769989,12250800
15-06-2021,336.98999,339.920013,335.029999,336.75,336.75,15795200
16-06-2021,336.700012,337.549988,328.720001,331.079987,331.079987,17232200
17-06-2021,330.48999,337.980011,330.149994,336.51001,336.51001,17794100
18-06-2021,334.529999,336.149994,329,329.660004,329.660004,23039500
21-06-2021,331.089996,332.920013,327.649994,332.290009,332.290009,11337500
22-06-2021,332.690002,339.920013,332.600006,339.029999,339.029999,15345300
23-06-2021,339.350006,343.420013,338.200012,340.589996,340.589996,14817800
24-06-2021,341.850006,344.899994,341.790009,343.179993,343.179993,12329100
25-06-2021,342.589996,344.119995,339.679993,341.369995,341.369995,14594400
28-06-2021,342.459991,358.140015,341.769989,355.640015,355.640015,29156100
29-06-2021,356.269989,356.73999,349.049988,351.890015,351.890015,21417300
30-06-2021,352.170013,352.920013,347.170013,347.709991,347.709991,15107500
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
